DRUGID,TARGETID,DRUGNAME
D0Y7VM,T97655,Forskolin
D0B1PE,T75440,Ro 5-4864
D0VF6E,T90286,PD173074
D03TFJ,T92803,Benzimidazole
D0C0JT,T46084,Nimesulide
D0G2JZ,T86836,Bisbenzimide (Hoechst 33258)
D04ZCZ,T55285,GINKOLIDE B
D05XMY,T12808,Acteoside
D06ZWG,T02551,AVE-5997EF
D07WSR,T62820,TS-032
D05QMG,T65864,FR167653
D05UGJ,T62449,XL844
D0H4XV,T46482,IM0-8400
D0N0PU,T59626,LTB 019
D0B7QP,T27944,TM30339
D0MM2K,T59626,CP-195543
D0T9HG,T34296,GM6001
D0H3JF,T48703,VTX-2337
D06FSC,T84316,NP-118809
D02RAU,T86591,KRP-297
D02VJY,T25258,Biricodar
D07SWU,T27944,TM30338
D09RON,T71192,LY-2300559
D0NV9O,T49898,BAY 10-00394
D05CDF,T31406,Doramapimod
D0NJ1A,T86385,Aloxistatin
D0E8CZ,T51408,Amibegron
D03PJP,T83369,Trenonacog alfa
D0JP4H,T44068,Bethanidine
D0X0KJ,T89534,Chlorotrianisene
D06QRW,T62151,Lazabemide
D0NL9N,T56365,Anti-CD19/20-CAR vector-transduced T cells
D09ZGK,T66693,BCMA-CART
D0N8NT,T66693,BCMA-UCART
D0LP1L,T66693,CAR-T cells targeting BCMA
D0PF1A,T66693,CAR-BCMA T cell
D0RI8E,T71164,GD2-targeted CAR-T cells
D09RPP,T25726,CAR-GPC3 T cell
D0P1BM,T25726,CAR-GPC3 T cells
D0T8DD,T47863,EPCAM-targeted CAR-T cells
D05FZM,T56365,CD19-UCART
D0V6WU,T10877,CAR-T cells targeting CD38
D0T6NG,T13017,CAR-T cells targeting CD138
D09VYT,T56365,CD19-targeted CAR-T cells
D0U5NO,T56365,CAR-CD19 T cell
D09IAN,T56365,Anti-CD19 Chimeric Antigen Receptor T Cells
D0B8BZ,T56365,CD19CART
D04PDI,T56365,CD19-targeted CAR-T cells
D01JCT,T56365,CD19-CAR T Cells
D06CWZ,T65883,CAR-CLD18 T cell
D04WZL,T87108,CART-meso cells
D0V6WW,T86323,CAR-T cells targeting CD56
D0I5DP,T14912,AMG 176
D09AOO,T28893,ANAVEX 2-73
D05GZD,T31479,Rilapladib
D07DTV,T70176,AT7519
D0H2UB,T47623,Suramin
D09VWI,T49639,BRX-005
D0F5JZ,T80975,PLX-4720
D05RBH,T83369,N9-GP
D0TS8E,T62820,ADX71149
D0P0ZY,T62820,Pomaglumetad
D0T4BL,T68251,Neovastat
D03GTO,T99948,C-Met/PD-L1 CAR-T Cell
D0E8ZL,T73215,CD20-CART
D09AXQ,T37539,CD22-CART
D0QE4F,T56365,CD19-CAR and CD28-CAR T Cells
D0D1HI,T40474,Autologous T Cells Expressing MET scFv CAR
D06XWD,T14597,CAR-T Cells targeting HER2
D0U2PU,T66693,Anti-BCMA CAR T cells
D0NG3T,T66693,BCMA CAR-T Cells
D0B5PV,T64969,CART-EGFRvIII T cells
D0M5II,T56365,CART-19 autologous T-cells
D08HKK,T05409,CD10-CART
D02MYI,T23953,CAR-T Cells targeting PSCA
