T59328	KEGGPATH	hsa05215:Prostate cancer
T29130	KEGGPATH	hsa05212:Pancreatic cancer
"T70977	FUNCTION	Requires primed phosphorylation of the majority of its substrates. In skeletal muscle, contributes to insulin regulation of glycogen synthesis by phosphorylating and inhibiting GYS1 activity and hence glycogen synthesis. May also mediate the development of insulin resistance by regulating activation of transcription factors. Regulates protein synthesis by controlling the activity of initiation factor 2B (EIF2BE/EIF2B5) in the same manner as glycogen synthase. In Wnt signaling, GSK3B forms a multimeric complex with APC, AXIN1 and CTNNB1/beta-catenin and phosphorylates the N-terminus of CTNNB1 leading to its degradation mediated by ubiquitin/proteasomes. Phosphorylates JUN at sites proximal to its DNA-binding domain, thereby reducing its affinity for DNA. Phosphorylates NFATC1/NFATC on conserved serine residues promoting NFATC1/NFATC nuclear export, shutting off NFATC1/NFATC gene regulation, and thereby opposing the action of calcineurin. Phosphorylates MAPT/TAU on 'Thr-548', decreasing significantly MAPT/TAU ability to bind and stabilize microtubules. MAPT/TAU is the principal component of neurofibrillary tangles in Alzheimer disease. Plays an important role in ERBB2-dependent stabilization of microtubules at the cell cortex. Phosphorylates MACF1, inhibiting its binding to microtubules which is critical for its role in bulge stem cell migration and skin wound repair. Probably regulates NF-kappa-B (NFKB1) at the transcriptional level and is required for the NF-kappa-B-mediated anti-apoptotic response to TNF-alpha (TNF/TNFA). Negatively regulates replication in pancreatic beta-cells, resulting in apoptosis, loss of beta-cells and diabetes. Through phosphorylation of the anti-apoptotic protein MCL1, may control cell apoptosis in response to growth factors deprivation. Phosphorylates MUC1 in breast cancer cells, decreasing the interaction of MUC1 with CTNNB1/beta-catenin. Is necessary for the establishment of neuronal polarity and axon outgrowth. Phosphorylates MARK2, leading to inhibit its activity. Phosphorylates SIK1 at 'Thr-182', leading to sustain its activity. Phosphorylates ZC3HAV1 which enhances its antiviral activity. Phosphorylates SNAI1, leading to its BTRC-triggered ubiquitination and proteasomal degradation. Phosphorylates SFPQ at 'Thr-687' upon T-cell activation. Phosphorylates NR1D1 st 'Ser-55' and 'Ser-59' and stabilizes it by protecting it from proteasomal degradation. Regulates the circadian clock via phosphorylation of the major clock components including ARNTL/BMAL1, CLOCK and PER2. Phosphorylates CLOCK AT 'Ser-427' and targets it for proteasomal degradation. Phosphorylates ARNTL/BMAL1 at 'Ser-17' and 'Ser-21' and primes it for ubiquitination and proteasomal degradation. Phosphorylates OGT at 'Ser-3' or 'Ser-4' which positively regulates its activity. Phosphorylates MYCN in neuroblastoma cells which may promote its degradation. Regulates the circadian rhythmicity of hippocampal long-term potentiation and ARNTL/BMLA1 and PER2 expression. Acts as a regulator of autophagy by mediating phosphorylation of KAT5/TIP60 under starvation conditions, leading to activate KAT5/TIP60 acetyltransferase activity and promote acetylation of key autophagy regulators, such as ULK1 and RUBCNL/Pacer. Constitutively active protein kinase that acts as a negative regulator in the hormonal control of glucose homeostasis, Wnt signaling and regulation of transcription factors and microtubules, by phosphorylating and inactivating glycogen synthase (GYS1 or GYS2), EIF2B, CTNNB1/beta-catenin, APC, AXIN1, DPYSL2/CRMP2, JUN, NFATC1/NFATC, MAPT/TAU and MACF1."
T14597	KEGGPATH	hsa05223:Non-small cell lung cancer
T95594	KEGGPATH	hsa05231:Choline metabolism in cancer
D01ZXW	THERCLAS	Anticancer Agents
T58449	WIKIPATH	WP1984:Integrated Breast Cancer Pathway
T86803	WIKIPATH	WP2868:TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer
T35474	KEGGPATH	hsa05223:Non-small cell lung cancer
D07NOI	THERCLAS	Anticancer Agents
T63505	WIKIPATH	WP2864:Apoptosis-related network due to altered Notch3 in ovarian cancer
T52450	WIKIPATH	WP1984:Integrated Breast Cancer Pathway
T89361	WIKIPATH	WP2446:Retinoblastoma (RB) in Cancer
T36935	KEGGPATH	hsa05200:Pathways in cancer
D0T9CE	DRUGCOMP	Henan Cancer Hospital
T64205	WIKIPATH	WP1984:Integrated Breast Cancer Pathway
T18639	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T63595	WIKIPATH	WP2446:Retinoblastoma (RB) in Cancer
"T11288	FUNCTION	Mediates ATP-dependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol-17-beta-o-glucuronide, methotrexate, antiviral drugs and other xenobiotics. Confers resistance to anticancer drugs. Hydrolyzes ATP with low efficiency. Mediates export of organic anions and drugs from the cytoplasm."
T28343	KEGGPATH	hsa05206:MicroRNAs in cancer
T68547	WIKIPATH	WP2446:Retinoblastoma (RB) in Cancer
D01KKQ	THERCLAS	Anticancer Agents
T13726	KEGGPATH	hsa05222:Small cell lung cancer
D00TXZ	DRUGCOMP	CANCER RESEARCH TECHNOLOGY LIMITED
T58970	KEGGPATH	hsa05215:Prostate cancer
D0S5BC	DRUGCOMP	Henan Cancer Hospital
T20761	KEGGPATH	hsa05219:Bladder cancer
D08QGR	DRUGCOMP	National Cancer Center (S. Korea)
T57941	SYNONYMS	Cancer/testis antigen 1.6; CT1.6; MAGE-6 antigen; MAGE3B antigen
T19011	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T02703	KEGGPATH	hsa05200:Pathways in cancer
T30784	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T61657	KEGGPATH	hsa05200:Pathways in cancer
T15739	WIKIPATH	WP615:Senescence and Autophagy in Cancer
D07NVU	THERCLAS	Anticancer Agents
D0JZ5Y	DRUGCOMP	Memorial Sloan-Kettering Cancer Center
T88752	KEGGPATH	hsa05210:Colorectal cancer
T81311	KEGGPATH	hsa05200:Pathways in cancer
T15739	KEGGPATH	hsa05212:Pancreatic cancer
T58921	KEGGPATH	hsa05200:Pathways in cancer
T17367	WIKIPATH	WP2864:Apoptosis-related network due to altered Notch3 in ovarian cancer
T71266	KEGGPATH	hsa05205:Proteoglycans in cancer
T58589	KEGGPATH	hsa05200:Pathways in cancer
T28705	WIKIPATH	WP1984:Integrated Breast Cancer Pathway
T65864	WIKIPATH	WP615:Senescence and Autophagy in Cancer
T29130	WIKIPATH	WP2868:TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer
T81386	KEGGPATH	hsa05200:Pathways in cancer
T23003	KEGGPATH	hsa05230:Central carbon metabolism in cancer
T59328	WIKIPATH	WP2363:Gastric cancer network 2
T36121	KEGGPATH	hsa05205:Proteoglycans in cancer
T36121	WIKIPATH	WP1971:Integrated Cancer pathway
D0BC2E	THERCLAS	Anticancer Agents
T35940	KEGGPATH	hsa05205:Proteoglycans in cancer
T94479	KEGGPATH	hsa05205:Proteoglycans in cancer
T04084	KEGGPATH	hsa05206:MicroRNAs in cancer
D0Y2NE	THERCLAS	Anticancer Agents
T46365	WIKIPATH	WP2263:Prostate Cancer
T85651	WIKIPATH	WP1984:Integrated Breast Cancer Pathway
T91331	KEGGPATH	hsa05230:Central carbon metabolism in cancer
T35486	WIKIPATH	WP615:Senescence and Autophagy in Cancer
T68227	WIKIPATH	WP615:Senescence and Autophagy in Cancer
T11288	KEGGPATH	hsa05206:MicroRNAs in cancer
D0YB3W	THERCLAS	Anticancer Agents
T51748	KEGGPATH	hsa05200:Pathways in cancer
"T96916	FUNCTION	DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease. Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6."
T03634	KEGGPATH	hsa05206:MicroRNAs in cancer
T04831	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T79798	KEGGPATH	hsa05205:Proteoglycans in cancer
T52316	KEGGPATH	hsa05230:Central carbon metabolism in cancer
T15068	WIKIPATH	WP2864:Apoptosis-related network due to altered Notch3 in ovarian cancer
T35474	KEGGPATH	hsa05230:Central carbon metabolism in cancer
T31309	KEGGPATH	hsa05210:Colorectal cancer
T31032	KEGGPATH	hsa05213:Endometrial cancer
D08WBF	THERCLAS	Anticancer Agents
D09EFC	THERCLAS	Anticancer Agents
T02677	WIKIPATH	WP2864:Apoptosis-related network due to altered Notch3 in ovarian cancer
T10937	KEGGPATH	hsa05219:Bladder cancer
T52316	KEGGPATH	hsa05212:Pancreatic cancer
D00YXG	DRUGCOMP	National Cancer Institute (NCI)
T00663	KEGGPATH	hsa05200:Pathways in cancer
T48598	KEGGPATH	hsa05226:Gastric cancer
T59174	KEGGPATH	hsa05205:Proteoglycans in cancer
D08FPM	THERCLAS	Anticancer Agents
T70977	REACPATH	R-HSA-5674400:Constitutive Signaling by AKT1 E17K in Cancer
T91331	KEGGPATH	hsa05200:Pathways in cancer
T14143	KEGGPATH	hsa05205:Proteoglycans in cancer
T85651	KEGGPATH	hsa05219:Bladder cancer
T82051	KEGGPATH	hsa05200:Pathways in cancer
T36121	KEGGPATH	hsa05206:MicroRNAs in cancer
T10052	KEGGPATH	hsa05215:Prostate cancer
T23003	KEGGPATH	hsa05231:Choline metabolism in cancer
T58474	KEGGPATH	hsa05210:Colorectal cancer
T92640	KEGGPATH	hsa05200:Pathways in cancer
D04VFJ	THERCLAS	Anticancer Agents
D0J3RY	THERCLAS	Anticancer Agents
T47107	KEGGPATH	hsa05205:Proteoglycans in cancer
D0JT1P	DRUGCOMP	Sidney Kimmel Cancer Center
T91959	KEGGPATH	hsa05230:Central carbon metabolism in cancer
T91149	KEGGPATH	hsa05223:Non-small cell lung cancer
"T82467	FUNCTION	May play a role in the recruitment or occupancy of CREBBP at some ESR1 target gene promoters. May be required for histone hyperacetylation. Involved in the estrogen-induced cell proliferation and cell cycle progression of breast cancer cells. May be a transcriptional coactivator of the nuclear receptor ESR1 required to induce the expression of a subset of estradiol target genes, such as CCND1, MYC and E2F1."
T50912	REACPATH	R-HSA-2219530:Constitutive Signaling by Aberrant PI3K in Cancer
T28076	REACPATH	R-HSA-2219530:Constitutive Signaling by Aberrant PI3K in Cancer
T85943	KEGGPATH	hsa05205:Proteoglycans in cancer
"T56697	FUNCTION	DKKs play an important role in vertebrate development, where they locally inhibit Wnt regulated processes such as antero-posterior axial patterning, limb development, somitogenesis and eye formation. In the adult, Dkks are implicated in bone formation and bone disease, cancer and Alzheimer disease. Inhibits the pro-apoptotic function of KREMEN1 in a Wnt-independent manner, and has anti-apoptotic activity. Antagonizes canonical Wnt signaling by inhibiting LRP5/6 interaction with Wnt and by forming a ternary complex with the transmembrane protein KREMEN that promotes internalization of LRP5/6."
D0Q5NX	THERCLAS	Anticancer Agents
D0S0WN	THERCLAS	Anticancer Agents
D07BXE	DRUGCOMP	National Cancer Institute
T68227	KEGGPATH	hsa05210:Colorectal cancer
T40045	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T78429	KEGGPATH	hsa05222:Small cell lung cancer
T97592	WIKIPATH	WP2361:Gastric Cancer Network 1
T76093	REACPATH	R-HSA-2219530:Constitutive Signaling by Aberrant PI3K in Cancer
D0B6TW	THERCLAS	Anticancer Agents
D0I5GS	DRUGCOMP	UNC Lineberger Comprehensive Cancer Center
D0W9NH	DRUGCOMP	National Cancer Institute (NCI)
T52316	KEGGPATH	hsa05200:Pathways in cancer
T85799	WIKIPATH	WP2377:Integrated Pancreatic Cancer Pathway
T23003	KEGGPATH	hsa05210:Colorectal cancer
T93903	WIKIPATH	WP1971:Integrated Cancer pathway
D00YPR	THERCLAS	Anticancer Agents
"D07CZI	DRUGCOMP	DANA-FARBER CANCER INSTITUTE, INC"
D0SX9C	DRUGCOMP	National Cancer Institute (NCI)
