Gene,PubMedID
br ##ca ##2,9389568
br ##ca ##1,22935333
br ##ca ##1,9389568
br ##ca ##1,25479927
br ##ca ##1,23825798
br ##ca ##1,24697775
br ##ca ##1,25974357
cd ##k ##n ##2 ##a,16896043
cd ##k ##n ##2 ##a,15819981
cd ##k ##n ##2 ##a,24935963
cd ##k ##n ##2 ##a,26498684
cd ##k ##n ##2 ##a,24346768
cd ##k ##n ##2 ##a,22080950
cd ##k ##n ##2 ##a,15705881
cd ##k ##n ##2 ##a,11668523
cd ##k ##n ##2 ##a,10389768
cd ##k ##n ##2 ##a,19725989
cd ##k ##n ##2 ##a,18398432
cd ##k ##n ##2 ##a,9389568
cd ##k ##n ##2 ##a,23384855
cd ##k ##n ##2 ##a,15856016
cd ##k ##n ##2 ##a,23825798
cd ##k ##n ##2 ##a,19149898
cd ##k ##n ##2 ##a,20484992
cd ##k ##n ##2 ##a,24697775
cd ##k ##n ##2 ##a,17351674
cd ##k ##n ##2 ##a,15221796
cd ##k ##n ##2 ##a,18672145
cd ##k ##n ##2 ##a,15120668
cd ##k ##n ##2 ##a,19238106
cd ##k ##n ##2 ##a,19158841
cd ##k ##n ##2 ##a,17171691
cd ##k ##n ##2 ##a,18505964
cd ##k ##n ##2 ##a,16801015
cd ##k ##n ##2 ##a,24928612
t ##p ##53,15819981
t ##p ##53,9389568
t ##p ##53,24736457
atm,11774264
atm,24840574
atm,19126397
atm,23190898
atm,8344747
atm,19016067
atm,20944096
atm,18949370
atm,22550165
atm,24967732
atm,25588203
atm,26498684
atm,21722328
atm,15756009
atm,14961576
atm,19671763
atm,23673539
atm,25065585
atm,23536873
atm,20848731
atm,25885043
atm,15466193
atm,23950209
atm,22130252
atm,22972589
atm,23477830
atm,15305193
atm,22322885
atm,23454771
atm,11112417
atm,26405583
atm,17891747
atm,24697775
atm,21268068
atm,25001534
atm,21466784
atm,20357817
atm,24223182
atm,22736149
atm,22328516
atm,12036934
atm,15958521
atm,23625514
atm,24928612
cd ##k ##4,22080950
cd ##k ##4,11668523
cd ##k ##4,10389768
cd ##k ##4,9389568
cd ##k ##4,18386818
cd ##k ##4,23384855
cd ##k ##4,24289491
cd ##k ##4,19238106
cd ##k ##4,19158841
ms ##h ##2,11931386
cd ##h ##1,20848731
bra ##f,24840574
bra ##f,25061102
bra ##f,20944096
bra ##f,24967732
bra ##f,19207948
bra ##f,26396549
bra ##f,23416158
bra ##f,14961576
bra ##f,16410717
bra ##f,21680547
bra ##f,19805117
bra ##f,27181209
bra ##f,23950209
bra ##f,22972589
bra ##f,25479927
bra ##f,23825798
bra ##f,23477830
bra ##f,19880519
bra ##f,23454771
bra ##f,21356389
bra ##f,24885594
bra ##f,25174651
bra ##f,24697775
bra ##f,16818621
bra ##f,19404918
bra ##f,25289082
bra ##f,20357817
bra ##f,15277467
bra ##f,25818589
bra ##f,22817889
bra ##f,21801332
bra ##f,19158841
bra ##f,23987572
pt ##en,24840574
pt ##en,25501033
pt ##en,22076652
pt ##en,20848731
pt ##en,15466193
pt ##en,25444926
pt ##en,22846175
pt ##en,14576666
pt ##en,19047166
st ##k ##11,24086281
e ##gf ##r,20177751
e ##gf ##r,17594688
e ##gf ##r,23638386
e ##gf ##r,26405583
ba ##p ##1,25687217
ba ##p ##1,26769193
ba ##p ##1,22935333
ba ##p ##1,23977234
ba ##p ##1,25479927
ba ##p ##1,23825798
ba ##p ##1,24697775
ba ##p ##1,27123562
ba ##p ##1,25974357
k ##ras,14961576
hr ##as,14961576
hr ##as,18386818
kit,19126397
kit,20337985
kit,21325067
kit,19671763
kit,21680547
kit,26424760
kit,19718013
kit,21119596
kit,19035443
kit,18417445
kit,23377970
kit,21356389
kit,23221472
kit,18066592
kit,27153441
kit,19118061
kit,22736149
kit,19158841
kit,23528861
ter ##t,24423917
ter ##t,25444926
ter ##t,23348506
n ##f ##1,24346768
n ##f ##1,16961930
n ##f ##1,11706558
n ##f ##1,11129335
n ##f ##1,12963615
ak ##t ##1,24346768
ak ##t ##1,15466193
nr ##as,14961576
nr ##as,21680547
nr ##as,23950209
nr ##as,22972589
nr ##as,23825798
nr ##as,23377970
nr ##as,25174651
nr ##as,27153441
nr ##as,16818621
nr ##as,20357817
nr ##as,22817889
nr ##as,19158841
nr ##as,23987572
mc ##1 ##r,19338054
mc ##1 ##r,19725989
mc ##1 ##r,23647022
mc ##1 ##r,21559390
mc ##1 ##r,12473109
mc ##1 ##r,15221796
mc ##1 ##r,22095472
mc ##1 ##r,19269164
mc ##1 ##r,16982779
mc ##1 ##r,19158841
mc ##1 ##r,16801015
mit ##f,12742347
mit ##f,25444235
mit ##f,20337985
mit ##f,21435193
mit ##f,22080950
mit ##f,21072171
mit ##f,19805117
mit ##f,17182868
mit ##f,27181209
mit ##f,22496449
mit ##f,23477830
mit ##f,23787126
mit ##f,23377970
mit ##f,24981740
mit ##f,20067553
mit ##f,22647378
mit ##f,16964280
mit ##f,17975146
mit ##f,26599548
mit ##f,25818589
mit ##f,21801332
met,18771349
met,11774264
met,24840574
met,25113440
met,22815634
met,19521982
met,25061102
met,15986140
met,25051432
met,20177751
met,17085653
met,23190898
met,19016067
met,20944096
met,18949370
met,22550165
met,25823659
met,25124714
met,12384558
met,24346768
met,19040420
met,19338054
met,20337985
met,10867810
met,15756009
met,14961576
met,17197349
met,24993904
met,20709760
met,16410717
met,24359286
met,17594688
met,21072171
met,19671763
met,14719109
met,23673539
met,9824622
met,25220161
met,26424760
met,22223089
met,10389768
met,24120113
met,11813878
met,11931386
met,25501033
met,23197006
met,25223485
met,17182868
met,24174333
met,24189220
met,19330028
met,23536873
met,7665237
met,22076652
met,20848731
met,25310020
met,9389568
met,21047771
met,24014427
met,22447182
met,27181209
met,19718013
met,15466193
met,24580015
met,25444926
met,26707830
met,23950209
met,11245423
met,23277422
met,24691438
met,23638386
met,19627587
met,22130252
met,21558391
met,22496449
met,8102131
met,25550585
met,24405508
met,25479927
met,11744991
met,11606406
met,19035443
met,15920168
met,25435429
met,23477830
met,19880519
met,15305193
met,14576666
met,23454771
met,25961751
met,23377970
met,11112417
met,24981740
met,9195562
met,21356389
met,25048347
met,26405583
met,19318807
met,20484992
met,11309305
met,9617345
