D0H6VL	DRUGCOMP	Cancer Research Technology Ltd
D05BJD	THERCLAS	Anticancer Agents
D0F2XQ	THERCLAS	Anticancer Agents
D0C2QU	DRUGCOMP	National Cancer Center (S. Korea)
D0G3PI	THERCLAS	Anticancer Agents
D0I6VU	THERCLAS	Anticancer Agents
D00STL	THERCLAS	Anticancer Agents
D04UNY	DRUGCOMP	Cancer Research UK
D0D2VS	THERCLAS	Anticancer Agents
"D05OHY	DRUGCOMP	Fuda Cancer Hospital, Guangzhou"
D0Y0GH	THERCLAS	Anticancer Agents
D0JT1P	DRUGCOMP	Sidney Kimmel Cancer Center
D05MBZ	THERCLAS	Anticancer Agents
D03DXN	THERCLAS	Anticancer Agents
D0C4GN	DRUGCOMP	M.D. Anderson Cancer Center
D0BJ3B	DRUGCOMP	Dana-Farber Cancer Institute Inc
D0X4RS	THERCLAS	Anticancer Agents
D0B3QM	THERCLAS	Anticancer Agents
D0QF7Z	DRUGCOMP	Fred Hutchinson Cancer Research Center
D03SGF	DRUGCOMP	MD Anderson Cancer Center
D09FAZ	THERCLAS	Anticancer Agents
D0OL6O	THERCLAS	Anticancer Agents
D0W8XH	THERCLAS	Anticancer Agents
D0X0IU	DRUGCOMP	National Cancer Institute
D00FHR	THERCLAS	Anticancer Agents
D06NNU	DRUGCOMP	Ukrainian Anti-Cancer Institute
D0L2NG	DRUGCOMP	CANCER RESEARCH TECHNOLOGY LIMITED
D0WD6K	DRUGCOMP	Memorial Sloan-Kettering Cancer Center
"D07BCU	DRUGCOMP	Cancer Prevention Pharmaceuticals Tucson, AZ"
D02ZXM	THERCLAS	Anticancer Agents
D06XAT	DRUGCOMP	Bio-Cancer Treatment International Ltd
D0ZU5F	THERCLAS	Anticancer Agents
D0C8EU	THERCLAS	Anticancer Agents
D0S5RC	THERCLAS	Anticancer Agents
D02IVA	DRUGCOMP	ASTRAZENECA AB CANCER RESEARCH TECHNOLOGY LIMITED
D04OZL	DRUGCOMP	Ludwig Institute for Cancer Research
D04EGX	THERCLAS	Anticancer Agents
D0TJ3M	DRUGCOMP	National Cancer Institute
D0K5NN	DRUGCOMP	AntiCancer Inc
D0A9YA	THERCLAS	Anticancer Agents
D0A9OV	THERCLAS	Anticancer Agents
D0K3QS	THERCLAS	Anticancer Agents
D0F2JS	THERCLAS	Anticancer Agents
D0L4SB	DRUGCOMP	Dana-Farber Cancer Institute Inc
D0MJ9L	DRUGCOMP	Cancer Research UK
D0H8DS	DRUGCOMP	Lion biotechnologies; national cancer institute
D0W7TU	DRUGCOMP	National Cancer Institute
D0O0LQ	THERCLAS	Anticancer Agents
D0X7HM	THERCLAS	Anticancer Agents
D0ZU9T	DRUGCOMP	National Cancer Institute
D03AZR	DRUGCOMP	MD Anderson Cancer Center
D0U1WP	DRUGCOMP	National Cancer Institute
D0RH3S	DRUGCOMP	Dana-Farber Cancer Institute Inc
D0M0XB	THERCLAS	Anticancer Agents
D0O6IZ	THERCLAS	Anticancer Agents
D01ZYG	THERCLAS	Anticancer Agents
D0PW4N	THERCLAS	Anticancer Agents
D0S2PY	THERCLAS	Anticancer Agents
D05HZJ	DRUGCOMP	Japanese National Cancer Center
D0J3RY	THERCLAS	Anticancer Agents
D0M3GQ	DRUGCOMP	National Cancer Institute
D06EWO	THERCLAS	Anticancer Agents
"D0NA4O	DRUGCOMP	DANA-FARBER CANCER INSTITUTE, INC"
D0I8RR	THERCLAS	Anticancer Agents
D0Q1CD	THERCLAS	Anticancer Agents
"D0RQ8Q	DRUGCOMP	DANA-FARBER CANCER INSTITUTE, INC"
D08KZM	DRUGCOMP	National Cancer Institute
"D0YE6C	DRUGCOMP	Bavarian Nordic Morrisville, NCNational Cancer Institute Bethesda, MD"
D06EIO	DRUGCOMP	Institute of Cancer Research UK
D0HU9H	THERCLAS	Anticancer Agents
D0N0RU	THERCLAS	Anticancer Agents
D01KKQ	THERCLAS	Anticancer Agents
D04FNR	DRUGCOMP	Memorial Sloan-Kettering Cancer Center
D0Q4NX	THERCLAS	Anticancer Agents
D07BXE	DRUGCOMP	National Cancer Institute
D0EO6G	DRUGCOMP	National Cancer Institute (NCI)
D07NVU	THERCLAS	Anticancer Agents
D03XEY	DRUGCOMP	Dana-Farber Cancer Institute Inc
D0P8IV	THERCLAS	Anticancer Agents
D0B0AX	THERCLAS	Anticancer Agents
D0D1EV	DRUGCOMP	National Cancer Institute
D0O1LD	THERCLAS	Anticancer Agents
D0M9QZ	THERCLAS	Anticancer Agents
D0E5JC	THERCLAS	Anticancer Agents
D09PMV	THERCLAS	Anticancer Agents
D0KK9E	THERCLAS	Anticancer Agents
D01AWH	DRUGCOMP	MEMORIAL SLOAN-KETTERING CANCER CENTER THE ROCKEFELLER UNIVERSITY
D0W0VR	DRUGCOMP	Advanced cancer therapeutics
D08PIQ	THERCLAS	Anticancer Agents
D0C7JF	THERCLAS	Anticancer Agents
D01UAM	DRUGCOMP	Memorial Sloan-Kettering Cancer Center
D0U4EU	THERCLAS	Anticancer Agents
D04OGZ	DRUGCOMP	Institute of Cancer Research UK
D0DV4X	DRUGCOMP	CANCER RESEARCH TECHNOLOGY LIMITED
D03FNJ	THERCLAS	Anticancer Agents
D0CF2Q	THERCLAS	Anticancer Agents
D09QVV	THERCLAS	Anticancer Agents
D07RIJ	DRUGCOMP	Dana-Farber Cancer Institute Inc
D0F8HX	THERCLAS	Anticancer Agents
D0LY0C	DRUGCOMP	Ludwig Institute for Cancer Research
"D0E1ST	DRUGCOMP	Fuda Cancer Hospital, Guangzhou"
D00FGO	THERCLAS	Anticancer Agents
D07IPB	THERCLAS	Anticancer Agents
D0E7PQ	THERCLAS	Anticancer Agents
D0T9CE	DRUGCOMP	Henan Cancer Hospital
D0EA3E	DRUGCOMP	National Cancer Center (S. Korea)
