Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
BRCA2,BRCA2 DNA Repair Associated,Protein Coding,P51587,52,GC13P032315,308.957428,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2
BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,54,GC17M043044,298.1134033,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,55,GC09M021967,246.7539063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A
TP53,Tumor Protein P53,Protein Coding,P04637,57,GC17M007661,239.6039886,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
PALB2,Partner And Localizer Of BRCA2,Protein Coding,Q86YC2,48,GC16M023603,216.6940308,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2
CHEK2,Checkpoint Kinase 2,Protein Coding,O96017,58,GC22M028687,212.5323944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2
ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,57,GC11P108222,191.9812317,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM
BRIP1,BRCA1 Interacting Helicase 1,Protein Coding,Q9BX63,53,GC17M061679,183.4761353,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRIP1
CDK4,Cyclin Dependent Kinase 4,Protein Coding,P11802,58,GC12M058829,178.2713013,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
MSH6,MutS Homolog 6,Protein Coding,P52701,53,GC02P047695,176.4370422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6
MSH2,MutS Homolog 2,Protein Coding,P43246,53,GC02P047403,174.9303589,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH2
CDH1,Cadherin 1,Protein Coding,P12830,53,GC16P068737,174.9119568,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P15056,58,GC07M140754,174.5377502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,55,GC10P100942,173.0268555,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
MLH1,MutL Homolog 1,Protein Coding,P40692,53,GC03P036993,172.3139038,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLH1
APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,P25054,53,GC05P112707,161.9299316,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC
BARD1,BRCA1 Associated RING Domain 1,Protein Coding,Q99728,51,GC02M214725,160.6459961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BARD1
